,player,comp_group,rvap_raw,icr_raw,wpa_raw,n1,n2,n3,rvap_w,icr_w,wpa_w,rvap_z,icr_z,wpa_z,icr_z_final_initial,icr_percentile_final_initial,rvap_score_percentile,icr_rank_final,icr_z_final,icr_percentile_final,bowler,team_bowl
0,jasprit bumrah,"['Powerplay', 'Death']",483.8271116300813,77.44461402600353,88.13999999999999,13.0,13.0,13,479.8995545726334,75.77637168570391,86.53069999999998,1.758404570534878,1.7796282070274296,1.8589770709615718,2.3404760209820665,99.03704124439075,100.0,1.0,1.6903437929314924,100.0,Jasprit Bumrah,Mumbai Indians
324,varun chakravarthy,['Middle'],420.5055379848004,76.50042351572094,78.46999999999998,14.0,14.0,14,409.4954906050298,75.0545509531875,78.46999999999998,1.8866035058242496,1.747813699075497,1.3237900014335782,2.20269387353543,98.61918338156157,100.0,1.0,1.6230375910261061,98.50746268656717,Varun Chakravarthy,Kolkata Knight Riders
627,sunil narine,['Middle'],248.08196825808386,61.34279308754247,190.02,14.0,14.0,14,248.08196825808386,61.34279308754247,171.0564999999998,0.6068462937800859,0.9142344078870613,2.9478673314070667,2.159508166224868,98.45946177618153,72.22222222222221,2.0,1.591216543534113,97.01492537313433,Sunil Narine,Kolkata Knight Riders
958,harshal patel,"['Middle', 'Death']",490.5494508595283,63.73131283766571,47.099999999999916,14.0,14.0,14,490.5494508595283,63.73131283766571,47.099999999999916,1.4026000859232925,0.6234214486485609,1.1905768380229196,1.6518429537213923,95.07167151174362,81.81818181818183,1.0,1.2171474395841837,95.52238805970148,Harshal Patel,Punjab Kings
1265,andre russell,"['Middle', 'Death']",538.3850027376328,82.10112504790456,32.69,14.0,14.0,14,533.9728739950184,81.33188685636301,32.69,1.641904885545873,1.7384571300828495,0.8600411935672833,1.488503886242779,93.16909709836739,100.0,2.0,1.0967923372315214,94.02985074626866,Andre Russell,Kolkata Knight Riders
1448,avesh khan,['Death'],295.46144221958394,48.55583700372137,-70.99000000000004,15.0,15.0,15,295.46144221958394,48.55583700372137,-70.99000000000004,1.4474693028045431,1.0683965913186202,-0.3873196256015229,1.3812444948111693,91.6398100957046,100.0,1.0,1.035933371108377,92.53731343283582,Avesh Khan,Rajasthan Royals
1791,harshit rana,"['Powerplay', 'Death']",463.1557586961452,68.66439118232134,-2.9299999999999926,11.0,11.0,11,463.1557586961452,68.66439118232134,-2.9299999999999926,1.6416611960254555,1.2515869110096407,0.4026264381752086,1.2541751962173575,89.51108333621436,95.0,2.0,0.8622454473994333,91.04477611940298,Harshit Rana,Kolkata Knight Riders
2050,tushar deshpande,"['Powerplay', 'Death']",279.90218251096036,64.03177907961732,25.179999999999996,13.0,13.0,13,279.90218251096036,64.03177907961732,25.179999999999996,0.3639556486937898,0.9076306111440735,0.8602353802874955,1.185146904542047,88.20203156964106,60.0,3.0,0.8559394310581451,89.55223880597015,Tushar Deshpande,Chennai Super Kings
2360,kuldeep yadav,['Middle'],320.7443772636933,61.81942374861645,16.31000000000002,11.0,11.0,11,320.7443772636933,61.81942374861645,16.31000000000002,1.18294574701893,0.9432102294053358,0.23342966994732275,1.165580505807763,87.81079533318344,88.88888888888889,3.0,0.801336597742837,88.05970149253731,Kuldeep Yadav,Delhi Capitals
2626,piyush chawla,['Middle'],355.740553397915,67.47960883369413,17.77,11.0,11.0,11,355.740553397915,67.47960883369413,17.77,1.4604107830985757,1.287310024445908,0.2590398064333252,1.1400897382903923,87.28755416659916,94.44444444444444,4.0,0.7838116950746447,86.56716417910447,Piyush Chawla,Mumbai Indians
2841,khaleel ahmed,['Powerplay'],171.90002248307212,52.3020516212647,1.0999999999999952,14.0,14.0,14,171.90002248307212,52.3020516212647,1.0999999999999952,0.15908206952066387,0.14496053186399838,0.7875686049356228,0.9935352787646656,83.97754165273304,50.0,1.0,0.7320786264581747,85.07462686567165,Khaleel Ahmed,Delhi Capitals
