,player,comp_group,rvap_raw,n1,icr_raw,n2,wpa_raw,n3,rvap_w,icr_w,wpa_w,rvap_z,icr_z,wpa_z,icr_z_final_initial,icr_percentile_final_initial,rvap_score_percentile,icr_rank_final,icr_z_final,icr_percentile_final,batter,team_bat
0,shubman gill,Openers,266.84643026721903,16.0,8346.356834699902,16.0,281.78999999999996,16.0,259.9057967164044,8308.340433015097,253.72349999999983,1.7478324540993118,1.7105182410840187,2.983450242220966,2.1188232020708035,98.29472944274727,100.0,1.0,1.6143414872920407,100.0,Shubman Gill,Gujarat Titans
533,heinrich klaasen,Middle Order,227.16274403009385,11.0,8307.867270959327,11.0,85.65,11.0,209.23662097811638,8233.829875780615,85.65,2.3544705357262194,1.551939046982208,1.383355402836702,1.7024241489650993,95.5662056859754,100.0,1.0,1.1704166024135059,98.36065573770492,Heinrich Klaasen,Sunrisers Hyderabad
795,suryakumar yadav,Top Order,109.69067320868501,15.0,8177.468851169979,15.0,67.83999999999995,15.0,109.69067320868501,8095.792935289793,67.83999999999995,1.2812971582269264,1.5600146177296783,1.1955877473447867,1.375219108601715,91.54682370533205,88.88888888888889,1.0,1.0314143314512862,96.72131147540983,Suryakumar Yadav,Mumbai Indians
1102,yashasvi jaiswal,Openers,208.83836928107226,14.0,7472.071534456377,14.0,148.13999999999993,14.0,208.83836928107226,7472.071534456377,148.13999999999993,1.3341396834051877,1.1720333040940134,1.3768610079940684,1.2772796007415281,89.92482235727714,86.36363636363636,2.0,0.9411533900200733,95.08196721311475,Yashasvi Jaiswal,Rajasthan Royals
1499,glenn maxwell,Top Order,122.12284986633782,13.0,6924.730000177582,13.0,95.94,13.0,121.97519130102481,6924.730000177582,95.94,1.4448183368847618,0.7126108870806709,1.8239083371208096,1.2463099753769507,89.3674691476992,100.0,2.0,0.9001127599944644,93.44262295081968,Glenn Maxwell,Royal Challengers Bangalore
1723,faf du plessis,Openers,223.26138808491532,13.0,8165.326350486549,13.0,73.32000000000004,13.0,223.26138808491532,8165.326350486549,73.32000000000004,1.4509792993872355,1.6184295249404503,0.23837813420359535,1.143592698702755,87.3603704473631,90.9090909090909,3.0,0.8259280601742118,91.80327868852459,Faf Du Plessis,Royal Challengers Bangalore
2149,devon conway,Openers,233.79579431095888,15.0,7438.996981114789,15.0,95.75000000000003,15.0,233.79579431095888,7438.996981114789,95.75000000000003,1.5363176044112752,1.150736148594374,0.5796795356887643,1.0694857120242314,85.7574568178058,95.45454545454545,4.0,0.8021142840181735,90.1639344262295,Devon Conway,Chennai Super Kings
2642,cameron green,Top Order,73.58295835954425,15.0,7697.02228716889,15.0,59.21,15.0,73.58295835954425,7697.02228716889,59.21,0.8006616097755554,1.271456484123822,1.0026195377445364,1.0679528727567518,85.72291146793782,72.22222222222221,4.0,0.8009646545675638,88.52459016393442,Cameron Green,Mumbai Indians
2910,rinku singh,Middle Order,107.65525701691107,13.0,7814.284636434584,13.0,60.260000000000026,13.0,107.65525701691107,7814.284636434584,60.260000000000026,1.0302181788999336,1.2264467608065086,0.8268504348140473,1.0515286712458718,85.34920758283147,93.75,2.0,0.759437373677574,86.88524590163934,Rinku Singh,Kolkata Knight Riders
3239,ajinkya rahane,Top Order,22.225197610000865,11.0,7285.182652488732,11.0,103.84999999999994,11.0,22.225197610000865,7285.182652488732,102.50529999999993,0.11703026926499781,0.9734413797318024,1.9707095174786908,1.0689612482409037,85.74564343144593,50.0,3.0,0.7349108581656213,85.24590163934425,Ajinkya Rahane,Chennai Super Kings
3432,ruturaj gaikwad,Openers,144.0261670946278,15.0,7201.324344970308,15.0,122.47000000000008,15.0,144.0261670946278,7201.324344970308,122.47000000000008,0.8091016925792143,0.9976955001628897,0.9862588244842942,0.9463349105290655,82.80111036718321,77.27272727272727,5.0,0.7097511828967991,83.60655737704919,Ruturaj Gaikwad,Chennai Super Kings
3843,nicholas pooran,Middle Order,84.41312251314362,14.0,6769.201533755842,14.0,98.38000000000001,14.0,84.41312251314362,6769.201533755842,97.525,0.7272250884936846,0.41564864791471695,1.643634902453442,0.879350372616856,81.03943342769988,81.25,4.0,0.6479423798229464,81.9672131147541,Nicholas Pooran,Lucknow Super Giants
4040,rashid khan,Lower Order,43.686776348865955,9.0,6253.933120674164,9.0,47.68000000000001,9.0,43.686776348865955,6204.159498161069,47.68000000000001,0.07108573860192563,1.7824899121839517,0.6784682109224044,1.0030073884812203,84.20713518016495,66.66666666666666,1.0,0.6447904640236417,80.32786885245902,Rashid Khan,Gujarat Titans
4106,vijay shankar,Middle Order,103.44552006494817,10.0,7556.896158772228,10.0,52.92999999999997,10.0,103.44552006494817,7556.896158772228,52.92999999999997,0.9753384857862971,1.026759203488035,0.6661894889453551,0.9007541111135551,81.61404644004962,87.5,3.0,0.60050274074237,78.68852459016394,Vijay Shankar,Gujarat Titans
