,player,comp_group,rvap_raw,n1,icr_raw,n2,wpa_raw,n3,rvap_w,icr_w,wpa_w,rvap_z,icr_z,wpa_z,icr_z_final_initial,icr_percentile_final_initial,rvap_score_percentile,icr_rank_final,icr_z_final,icr_percentile_final,batter,team_bat
0,riyan parag,Top Order,145.710771096646,14.0,7379.2235706784195,14.0,103.18000000000004,14.0,145.710771096646,7372.584647897524,103.18000000000004,2.091112274614065,1.4011000922292216,1.9973750693763717,1.7627360046061562,96.1027487375785,96.29629629629629,1.0,1.2988581086571676,100.0,Riyan Parag,Rajasthan Royals
407,rajat patidar,Top Order,128.99845013878755,13.0,7074.325687548435,13.0,131.4699999999999,13.0,128.99845013878755,7074.325687548435,124.1145999999999,1.833921720671795,1.1567404574604179,2.4751283895271836,1.7413879295215535,95.91921987193336,92.5925925925926,2.0,1.257669060210011,98.57142857142858,Rajat Patidar,Royal Challengers Bengaluru
644,virat kohli,Openers,214.70741547562528,15.0,7879.359451667124,15.0,129.21000000000006,15.0,203.07102501154606,7860.8748580985575,129.21000000000006,2.213967174912578,1.5651668177165412,1.185002949651423,1.6104115628791336,94.63459810199207,100.0,1.0,1.2078086721593502,97.14285714285714,Virat Kohli,Royal Challengers Bengaluru
1141,nicholas pooran,Middle Order,152.8383769690255,14.0,8045.606213334378,14.0,77.82,14.0,148.47412710257652,8045.606213334378,75.42879999999998,1.708294159607476,1.4189235874471562,1.6566066881809336,1.566704837291021,94.14081502022292,100.0,1.0,1.1544140906354892,95.71428571428572,Nicholas Pooran,Lucknow Super Giants
1437,travis head,Openers,125.20476607371816,15.0,7791.337577531094,15.0,144.43,15.0,125.20476607371816,7791.337577531094,142.9642,1.2456733332216514,1.5179050318458627,1.430159518530485,1.4214460740222443,92.24064399356674,86.36363636363636,2.0,1.0660845555166834,94.28571428571428,Travis Head,Sunrisers Hyderabad
1744,sai sudharsan,Top Order,168.9854563297572,12.0,7353.68925229036,12.0,35.55999999999989,12.0,162.93403816914824,7353.68925229036,35.55999999999989,2.3561659203789045,1.3856193436744273,0.45420350132165865,1.3396475125023608,90.9820015377936,100.0,3.0,0.9456335382369606,92.85714285714286,Sai Sudharsan,Gujarat Titans
2132,sunil narine,Openers,159.29603231334346,14.0,6602.989685183187,14.0,137.45000000000005,14.0,159.29603231334346,6602.989685183187,137.45000000000005,1.6696100113871197,0.7102311744603903,1.3318737329440518,1.1480551481400425,87.45271008539609,95.45454545454545,3.0,0.8459353723137155,91.42857142857143,Sunil Narine,Kolkata Knight Riders
2424,shashank singh,Top Order,12.491057643050418,14.0,7317.363886054614,14.0,86.66999999999999,14.0,12.491057643050418,7317.363886054614,86.66999999999999,0.04095706364382065,1.3558584499335633,1.6205965631861419,1.10570137422597,86.55721024859578,55.55555555555556,4.0,0.8147273283770305,90.0,Shashank Singh,Punjab Kings
2649,dinesh karthik,Middle Order,82.52612529889738,13.0,7201.282777550189,13.0,60.73999999999997,13.0,82.52612529889738,7201.282777550189,60.73999999999997,0.7645423638416391,0.8418628840945568,1.3557099379666544,0.9832804291770749,83.7265280245851,80.0,2.0,0.7101469766278874,88.57142857142857,Dinesh Karthik,Royal Challengers Bengaluru
2844,ruturaj gaikwad,Openers,74.87943012036631,14.0,7128.038273535843,14.0,111.89999999999999,14.0,74.87943012036631,7128.038273535843,111.89999999999999,0.6198603874171577,1.06708628515674,0.8764673599917847,0.8940617945110265,81.43555853051208,77.27272727272727,4.0,0.6587823749028616,87.14285714285714,Ruturaj Gaikwad,Chennai Super Kings
3269,sanju samson,Top Order,30.736516934269854,15.0,6937.947845309185,15.0,56.089999999999996,15.0,30.736516934269854,6937.947845309185,56.089999999999996,0.3217415096745399,1.045007888953051,0.9227233518416728,0.8234645845742631,79.487807557102,66.66666666666666,5.0,0.6175984384306973,85.71428571428571,Sanju Samson,Rajasthan Royals
3636,tilak varma,Middle Order,121.66516363724735,13.0,7285.12400434514,13.0,13.299999999999974,13.0,121.66516363724735,7285.12400434514,13.299999999999974,1.3246433025527955,0.8991649501674989,0.3839122533249279,0.8455069544277685,80.10860742722721,93.33333333333333,3.0,0.6106439115311662,84.28571428571429,Tilak Varma,Mumbai Indians
3927,phil salt,Openers,49.474933382410015,12.0,7098.081899956806,12.0,118.62000000000003,12.0,49.474933382410015,7098.081899956806,118.62000000000003,0.3039466902885807,1.0467261027912405,0.9962454745216965,0.8427380547661096,80.0312520442708,63.63636363636363,5.0,0.5948739210113716,82.85714285714286,Phil Salt,Kolkata Knight Riders
4177,tristan stubbs,Middle Order,66.73981671994497,13.0,8142.518716066756,13.0,1.9099999999999806,13.0,66.73981671994497,8128.950965684223,1.9099999999999806,0.5386316969157335,1.4758863334439913,0.15059067600474957,0.8231891861925369,79.47997913082962,73.33333333333333,4.0,0.5945255233612766,81.42857142857143,Tristan Stubbs,Delhi Capitals
4381,kl rahul,Openers,129.75231236146442,14.0,6460.30049444932,14.0,97.65000000000006,14.0,129.75231236146442,6460.30049444932,97.65000000000006,1.3022236430130205,0.6132508795237505,0.622473590341305,0.7906804289971994,78.54347502682661,90.9090909090909,6.0,0.5826066318926731,80.0,Kl Rahul,Lucknow Super Giants
4779,venkatesh iyer,Top Order,40.0403858765459,13.0,6945.492579660833,13.0,38.00999999999997,13.0,40.0403858765459,6945.492579660833,38.00999999999997,0.46492133569057187,1.0511891903578388,0.5101155146569761,0.7331315821225276,76.82609103154599,81.48148148148148,6.0,0.5294839204218255,78.57142857142857,Venkatesh Iyer,Kolkata Knight Riders
